energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,genre
0.0137,137.908,0.148,-37.611,0.119,0.0382,0.0422,0.936,1.0,7.0,209250.0,0.972,ambient
0.0146,139.436,0.143,-40.946,0.0849,0.0548,0.0427,0.922,1.0,0.0,156081.0,0.862,ambient
0.0152,73.503,0.188,-32.487,0.107,0.0435,0.038,0.956,1.0,0.0,158343.0,0.973,ambient
0.0164,138.053,0.204,-45.193,0.111,0.037,0.0433,0.94,1.0,5.0,182719.0,0.911,ambient
0.0168,68.643,0.0914,-37.17,0.11,0.0296,0.0406,0.969,1.0,10.0,162000.0,0.913,ambient
0.0172,74.931,0.159,-31.017,0.102,0.0297,0.0474,0.988,0.0,4.0,215829.0,0.941,ambient
0.0173,77.551,0.0913,-41.648,0.0999,0.039,0.0478,0.845,1.0,0.0,191571.0,0.811,ambient
0.0193,100.334,0.2,-17.298,0.0953,0.0382,0.0438,0.0058,0.0,6.0,222569.0,0.961,ambient
0.021,71.371,0.195,-33.002,0.106,0.145,0.0328,0.831,1.0,8.0,127972.0,0.978,ambient
0.0217,142.924,0.137,-36.422,0.0818,0.0974,0.0408,0.832,1.0,7.0,174625.0,0.951,ambient
0.0233,137.355,0.151,-34.52,0.107,0.0321,0.0449,0.946,1.0,4.0,133250.0,0.942,ambient
0.0236,103.938,0.537,-29.056,0.0794,0.111,0.0288,0.869,1.0,10.0,148368.0,0.984,lofi
0.0254,53.829,0.426,-28.77,0.0978,0.246,0.035,0.951,0.0,6.0,179003.0,0.991,electronic
0.0277,80.021,0.543,-21.2,0.179,0.0681,0.0284,0.903,1.0,11.0,166625.0,0.957,lofi
0.0277,124.035,0.489,-33.191,0.128,0.0861,0.0418,0.933,0.0,4.0,159677.0,0.962,electronic
0.0281,115.416,0.51,-19.711,0.228,0.239,0.0378,0.956,0.0,2.0,111433.0,0.759,world
0.0293,94.383,0.117,-27.884,0.0973,0.0615,0.0408,0.965,1.0,8.0,123636.0,0.995,electronic
0.0294,136.585,0.159,-33.472,0.11,0.0311,0.0371,0.921,1.0,4.0,138750.0,0.855,ambient
0.0319,79.893,0.5,-23.802,0.0932,0.0599,0.0343,0.913,1.0,7.0,117000.0,0.983,lofi
0.0324,78.513,0.0716,-33.086,0.0939,0.0368,0.0445,0.97,1.0,4.0,198000.0,0.94,ambient
0.0325,126.368,0.359,-29.901,0.0976,0.326,0.0335,0.862,0.0,3.0,182000.0,0.991,electronic
0.0331,73.003,0.173,-25.129,0.111,0.248,0.0465,0.782,1.0,6.0,270157.0,0.907,electronic
0.0341,81.658,0.266,-23.265,0.106,0.0738,0.0351,4.21e-06,1.0,7.0,98493.0,0.985,world
0.0348,72.346,0.531,-29.018,0.105,0.089,0.0516,0.947,1.0,7.0,110004.0,0.995,electronic
0.0379,61.028,0.538,-22.543,0.0846,0.0422,0.0306,0.911,1.0,4.0,161311.0,0.977,lofi
0.0379,67.539,0.462,-25.122,0.0586,0.475,0.0381,0.918,0.0,2.0,120004.0,0.972,world
0.039,128.309,0.188,-32.36,0.168,0.0806,0.0397,0.915,1.0,9.0,145090.0,0.971,electronic
0.0391,67.4,0.252,-21.635,0.359,0.13,0.0398,0.655,1.0,8.0,153533.0,0.951,ambient
0.04,135.965,0.44,-16.887,0.111,0.249,0.0322,0.465,1.0,3.0,193749.0,0.981,ambient
0.0401,131.903,0.746,-24.322,0.122,0.316,0.0395,0.929,1.0,8.0,134542.0,0.977,lofi
0.0408,130.014,0.643,-17.989,0.0959,0.152,0.039,0.921,1.0,5.0,187023.0,0.825,lofi
0.0429,69.569,0.196,-19.749,0.152,0.0575,0.0395,0.983,1.0,11.0,214334.0,0.977,electronic
0.0445,70.694,0.267,-30.101,0.104,0.241,0.0321,0.911,1.0,0.0,129532.0,0.987,electronic
0.0455,71.045,0.615,-17.469,0.0899,0.038,0.0367,0.921,1.0,0.0,159750.0,0.942,lofi
0.0455,142.405,0.137,-30.204,0.11,0.0388,0.0358,0.824,1.0,3.0,164348.0,0.863,ambient
0.048,119.954,0.836,-14.768,0.101,0.228,0.051,0.894,0.0,2.0,120458.0,0.193,lofi
0.0503,52.248,0.0642,-24.963,0.302,0.0354,0.0452,0.967,1.0,2.0,166000.0,0.93,electronic
0.0516,144.085,0.691,-17.195,0.104,0.309,0.071,0.948,0.0,11.0,163320.0,0.986,lofi
0.0517,125.964,0.581,-26.309,0.0896,0.0506,0.0312,0.953,1.0,10.0,152000.0,0.965,lofi
0.0518,111.893,0.335,-26.628,0.107,0.299,0.0705,0.936,0.0,8.0,124324.0,0.984,lofi
0.0519,70.798,0.121,-23.796,0.0841,0.131,0.0415,0.817,1.0,9.0,185333.0,0.979,electronic
0.0525,66.754,0.0658,-26.699,0.115,0.0389,0.0367,0.83,1.0,0.0,145267.0,0.925,electronic
0.0551,130.006,0.656,-26.03,0.0807,0.194,0.0573,0.958,0.0,10.0,45466.0,0.281,lofi
0.0557,71.766,0.127,-30.658,0.103,0.0644,0.0434,0.819,1.0,2.0,228000.0,0.984,ambient
0.0558,77.977,0.603,-16.649,0.311,0.0346,0.0523,0.932,0.0,5.0,190000.0,0.969,lofi
0.0561,79.764,0.319,-23.023,0.388,0.082,0.045,0.00384,1.0,0.0,242652.0,0.935,ambient
